ID,Warehouse_block ,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
3164,C, Ship,2,4,178,4,medium,F,,4620,0
3165,D, Ship,6,5,310,4,medium,F,10,1553,0
3166,D, Road,5,5,132,2,high,F,,4233,0
3167,F, Ship,3,4,243,2,medium,M,1,5840,1
3168,A, Road,4,5,229,5,low,F,3,1954,0
3169,C, Ship,4,2,166,,medium,F,,4758,0
3170,F, Ship,4,1,239,5,low,F,,1048,0
3171,C,?,,5,137,3,low,M,3,5497,1
3172,F, Ship,5,5,276,4,low,F,,1742,0
3173,F, Ship,,1,267,4,low,M,9,1146,1
3174,F, Ship,,3,296,4,low,M,4,1392,0
3175,F, Flight,3,5,130,,low,F,27,1891,1
3176,D, Ship,3,1,224,3,low,M,,4908,0
3177,F, Ship,3,3,168,2,low,F,10,4583,1
3178,A, Ship,,3,218,6,high,M,,5879,0
3179,A, Ship,3,3,220,3,high,F,6,5269,1
3180,A, Flight,,4,224,,low,M,,4162,0
3181,F, Flight,3,3,157,4,low,M,7,5974,1
3182,B, Ship,5,3,184,4,medium,F,2,3798,1
3183,A, Ship,,3,225,5,?,F,,1573,0
3184,B, Road,3,4,261,2,medium,F,1,3398,1
3185,F, Flight,4,5,134,3,medium,M,3,5000,1
3186,A, Road,5,1,260,,low,F,3,1705,0
3187,B, Flight,2,5,198,2,medium,M,4,1913,1
3188,C, Road,4,3,158,4,medium,M,7,4460,0
3189,A, Ship,3,4,98,2,low,F,32,1539,1
3190,B, Ship,3,5,233,2,medium,F,2,4193,0
3191,F, Road,5,2,198,3,low,F,8,4680,0
3192,F, Ship,5,4,226,5,low,M,,2240,1
3193,F, Ship,4,2,272,2,low,M,,3271,1
3194,C, Ship,4,1,134,,medium,M,2,4983,0
3195,A, Ship,4,4,243,,low,M,10,3327,1
3196,F, Ship,,3,248,4,low,F,6,1997,1
3197,A, Ship,3,4,173,3,low,F,8,5979,0
3198,C, Ship,6,3,155,2,medium,F,,4182,1
3199,F, Ship,4,2,223,3,medium,M,3,5121,0
3200,D, Flight,4,1,258,2,low,F,,3186,1
3201,C, Ship,2,4,152,3,low,M,55,1498,1
3202,D, Ship,4,3,141,3,medium,F,3,4249,0
3203,F, Ship,6,1,303,4,medium,F,,1003,0
3204,B, Ship,4,2,266,3,medium,F,,5252,1
3205,D, Ship,5,3,142,4,medium,F,4,5116,1
3206,C, Ship,6,3,295,4,low,F,10,1495,0
3207,B, Ship,5,2,132,2,medium,M,,1665,1
3208,F, Ship,5,5,223,3,low,M,5,4373,1
3209,B, Ship,3,4,269,3,medium,M,,5364,1
3210,A, Ship,6,1,259,4,low,F,4,1198,0
3211,B, Road,4,1,215,3,low,M,,?,0
3212,F, Ship,4,3,158,3,low,M,,1036,1
3213,A, Road,4,4,235,3,low,F,17,3715,1
3214,B,?,4,2,205,2,medium,M,,4641,1
3215,F, Ship,3,1,202,,medium,F,,5818,0
3216,C, Road,4,4,169,3,low,M,23,1058,1
3217,F, Ship,4,1,229,3,medium,F,20,2891,1
3218,A, Ship,6,5,206,2,low,F,6,5646,1
3219,B, Flight,,4,260,4,low,M,,5911,1
3220,D, Flight,3,5,218,3,low,M,2,5841,0
3221,D, Flight,3,4,207,10,low,F,,5856,0
3222,F, Ship,,3,148,3,medium,F,,1099,1
3223,F, Flight,3,4,149,3,medium,F,3,4540,0
3224,A, Ship,3,1,250,2,low,F,5,4232,0
3225,F, Ship,,4,114,4,low,M,9,4452,1
3226,C, Ship,,2,245,2,low,M,,5871,1
3227,D, Ship,3,5,227,3,high,M,,4892,1
3228,F, Ship,4,1,137,4,high,M,,1391,1
3229,C, Road,4,5,262,6,?,M,1,1249,0
3230,F, Ship,4,2,259,2,high,F,10,5265,0
3231,B, Road,2,2,260,3,medium,F,,4747,0
3232,D, Road,4,5,170,3,medium,M,3,4695,1
3233,F, Ship,4,2,227,2,low,M,,4878,1
3234,A, Ship,,2,231,4,medium,M,,5194,0
3235,A, Ship,3,1,192,3,medium,M,,4997,1
3236,C, Road,3,3,274,2,medium,F,59,3436,1
3237,F, Flight,4,4,261,3,medium,M,2,4140,0
3238,F, Ship,,1,178,,medium,M,,1006,1
3239,D, Ship,5,3,149,3,medium,F,,1005,1
3240,C, Road,,5,182,3,high,M,,4183,1
3241,C, Flight,4,4,174,3,low,M,,4348,0
3242,B,?,3,1,244,4,medium,M,6,4734,1
3243,C, Road,3,5,129,,medium,F,52,1513,1
3244,C, Ship,,1,202,3,medium,F,,3940,1
3245,D, Flight,4,3,173,3,medium,F,,4351,0
3246,F, Road,4,1,262,,low,M,,1627,1
3247,D,?,3,2,150,10,low,F,,5580,0
3248,C, Ship,4,2,212,3,low,M,5,5413,0
3249,D, Flight,3,1,185,3,medium,M,,5474,1
3250,D, Flight,4,2,250,3,low,M,,4488,1
3251,C, Road,4,3,259,3,low,F,,4914,1
3252,D, Flight,4,5,236,,low,M,,4132,0
3253,C, Road,4,1,168,2,low,F,41,1515,1
3254,B, Ship,3,1,191,5,medium,M,2,4956,1
3255,B, Ship,4,2,146,3,medium,M,,4381,1
3256,B, Ship,,5,289,4,low,M,3,1656,1
3257,F,?,5,5,260,,low,F,,3065,1
3258,A, Road,,5,139,2,medium,F,1,4606,0
3259,A, Flight,2,4,151,4,low,F,6,1803,0
3260,A, Ship,5,3,242,3,low,F,,4889,1
3261,D, Road,3,2,180,6,?,M,3,5780,1
3262,C, Road,2,1,145,,low,F,49,1177,1
3263,B, Ship,3,1,253,3,high,M,,5030,1
3264,B, Ship,6,3,310,5,low,M,6,1139,0
3265,F,?,3,2,133,5,medium,M,,5744,1
3266,D, Road,5,3,257,5,medium,F,3,1953,0
3267,F, Road,3,1,186,2,medium,F,,4556,0
3268,F, Ship,4,3,208,3,medium,F,,?,1
3269,D, Ship,4,1,191,3,low,F,8,4021,1
3270,F, Ship,4,5,251,5,medium,F,,1434,0
3271,F, Flight,3,4,212,,low,M,,4742,0
3272,F,?,,5,211,3,medium,F,,5983,1
3273,F, Ship,,1,288,4,medium,M,,1806,1
3274,C, Road,3,3,155,3,medium,M,5,4957,1
3275,C, Ship,4,4,206,4,medium,F,,1074,1
3276,B, Flight,5,2,223,5,low,F,,1010,1
3277,F, Road,5,2,254,6,low,F,5,1951,0
3278,F, Road,4,5,222,,medium,F,8,4950,0
3279,D, Ship,6,4,276,4,low,M,,1662,1
3280,A, Ship,3,1,273,6,low,M,,1293,0
3281,A, Road,,4,202,3,medium,M,,3707,1
3282,A, Ship,3,3,264,3,medium,F,6,4247,1
3283,B, Ship,,1,144,,medium,M,6,5197,1
3284,F, Ship,5,4,274,5,low,M,6,1969,0
3285,F, Flight,,2,270,5,low,F,5,1747,1
3286,C, Road,6,3,175,4,low,M,3,4143,0
3287,F, Ship,4,3,173,3,low,F,,4810,1
3288,F, Road,4,2,231,3,high,M,,5112,0
3289,B, Road,6,3,274,6,medium,F,1,4632,0
3290,B, Road,4,2,227,,low,M,7,1354,1
3291,D, Road,4,2,176,3,low,M,,1909,1
3292,D, Ship,,4,206,3,high,M,5,4022,0
3293,A, Ship,,2,184,,low,F,,4552,0
3294,F, Ship,,5,233,4,low,F,9,4541,0
3295,F, Ship,3,1,154,,low,M,,4720,1
3296,F, Flight,5,1,282,5,low,M,,5182,1
3297,F, Ship,3,4,214,8,high,F,,2924,1
3298,C, Ship,4,4,149,3,low,F,8,5658,1
3299,F, Ship,4,2,276,,high,F,,2843,1
3300,B, Road,,2,219,4,low,M,,5660,0
3301,D,?,3,3,116,5,low,F,,?,0
3302,C, Ship,3,5,244,2,medium,F,10,4064,1
3303,A, Ship,5,3,199,10,medium,F,1,5865,0
3304,C, Ship,4,5,254,3,medium,F,,4404,0
3305,A, Ship,6,4,129,,low,F,58,1463,1
3306,A, Flight,,5,191,3,low,M,,?,1
3307,A, Flight,3,4,177,4,medium,M,5,1854,0
3308,F, Ship,4,1,171,2,low,F,6,5719,1
3309,A, Ship,5,2,191,3,high,F,,2028,1
3310,F, Ship,3,2,183,3,medium,F,,2023,1
3311,D, Ship,,2,237,3,low,M,8,5287,1
3312,F, Road,,1,241,,low,M,6,?,0
3313,A, Flight,5,3,199,4,low,F,,3473,1
3314,C, Ship,3,4,154,2,low,M,,1016,1
3315,F, Ship,6,3,161,,medium,M,8,1247,0
3316,B, Ship,6,2,278,3,medium,F,3,2974,1
3317,A, Flight,4,3,181,3,medium,M,10,4541,1
3318,D, Flight,,2,152,4,medium,F,7,?,1
3319,C, Ship,,1,181,2,low,F,3,5877,0
3320,F, Ship,5,1,162,,medium,M,,4064,1
3321,F, Ship,3,4,185,2,medium,M,,4574,0
3322,A, Road,,5,239,6,low,F,1,1984,0
3323,F, Ship,,4,174,2,low,F,1,4541,1
3324,F, Flight,6,5,245,4,low,F,8,1403,0
3325,C, Flight,4,5,217,4,medium,F,3,5966,0
3326,C, Flight,,3,197,3,medium,M,,4568,0
3327,A, Ship,,1,242,5,low,F,,4026,0
3328,F, Ship,5,2,238,2,low,M,5,5703,0
3329,B, Ship,,2,172,2,high,F,1,5112,0
3330,D, Flight,3,3,155,,low,F,,1712,1
3331,F, Ship,4,3,201,2,low,F,,?,1
3332,B,?,5,1,262,5,medium,M,4,1196,0
3333,F, Ship,3,5,154,,medium,M,6,4744,0
3334,A, Ship,5,5,228,3,medium,F,,4731,1
3335,D, Ship,5,1,170,4,low,F,,4855,1
3336,D, Ship,6,2,232,3,medium,F,7,5219,1
3337,F, Ship,5,5,258,4,medium,M,7,?,0
3338,B, Ship,6,2,168,,low,M,3,5853,0
3339,B, Ship,3,2,139,2,low,M,,1767,1
3340,F, Ship,3,3,192,,low,F,,4180,1
3341,A, Ship,4,5,98,4,low,F,,4643,0
3342,F, Flight,,5,250,5,medium,M,,1662,0
3343,F, Ship,,4,247,3,medium,M,9,5383,0
3344,F, Ship,,1,202,3,low,F,51,3551,1
3345,C, Road,,3,207,,high,F,24,3702,1
3346,B, Ship,6,1,232,6,low,M,,5877,0
3347,F, Ship,5,5,251,2,high,F,3,4741,1
3348,B, Flight,3,3,223,2,?,M,,3622,1
3349,A,?,5,1,197,4,low,F,,5594,1
3350,A, Road,7,1,275,,medium,M,,1754,0
3351,F, Ship,,1,227,5,low,M,6,1667,0
3352,B, Ship,4,3,232,5,low,F,9,1856,0
3353,F, Ship,5,5,139,,medium,F,,4433,1
3354,B,?,,4,165,2,medium,M,,5745,0
3355,F, Ship,5,2,274,3,medium,M,6,3375,1
3356,F, Ship,5,1,148,4,high,M,2,5821,1
3357,B, Flight,3,4,143,4,medium,M,5,5545,1
3358,F, Flight,3,2,210,3,low,F,,4731,1
3359,C, Ship,6,1,251,4,low,M,2,1679,0
3360,D, Ship,,3,162,,low,M,,1693,1
3361,D, Ship,5,1,154,2,low,M,,1671,1
3362,C, Flight,5,5,131,5,low,F,,5299,1
3363,F, Ship,4,4,240,2,medium,F,4,5101,0
3364,B, Ship,3,3,275,3,medium,M,,?,0
3365,F, Ship,,3,259,5,medium,M,2,?,0
3366,F, Ship,,4,164,,low,M,,1555,1
3367,F, Ship,5,5,198,,high,M,3,5249,0
3368,A, Ship,5,5,135,4,low,M,8,5029,0
3369,B, Flight,3,2,189,3,medium,F,2,4152,1
3370,F, Ship,3,4,190,10,medium,F,,?,1
3371,F, Ship,2,3,264,2,low,F,63,2896,1
3372,C, Ship,5,2,275,,low,M,,1373,0
3373,B, Ship,,2,289,5,medium,F,10,1607,1
3374,F, Flight,5,3,194,7,medium,F,,?,0
3375,D, Ship,3,3,231,2,high,F,8,5021,0
3376,A, Ship,,3,133,3,low,F,,4926,0
3377,B, Ship,4,2,248,6,low,M,,1415,1
3378,A, Ship,4,5,243,,low,F,1,?,0
3379,F, Ship,,2,271,3,medium,F,4,4186,1
3380,A, Road,4,1,220,5,low,F,9,1817,0
3381,D, Road,5,3,136,3,medium,F,,1446,1
3382,B, Ship,4,4,183,4,low,F,6,4562,1
3383,F, Ship,,1,132,,medium,M,,?,0
3384,A,?,5,2,176,3,low,M,,5656,0
3385,A, Ship,4,5,134,3,low,F,8,5694,0
3386,F, Ship,5,2,254,2,medium,M,,4180,1
3387,A, Road,5,3,203,,medium,M,,4311,1
3388,B, Ship,4,5,152,3,medium,M,5,5191,0
3389,A, Ship,4,2,187,4,medium,M,,3225,1
3390,C, Ship,,1,104,4,medium,F,23,1442,1
3391,F, Flight,,5,203,2,low,M,10,4790,1
3392,B,?,5,3,265,3,medium,M,30,2293,1
3393,F, Ship,6,4,299,4,low,M,,1527,0
3394,A, Ship,,2,177,3,medium,M,,5757,0
3395,A, Ship,6,2,265,,low,M,,1904,1
3396,F, Road,4,3,158,3,high,F,,5602,0
3397,F, Ship,5,1,153,2,low,F,,1414,1
3398,F, Ship,5,5,174,6,medium,F,,1184,1
3399,F, Road,5,5,179,5,low,M,,1437,1
3400,D, Ship,,4,156,,low,M,,1523,1
3401,C, Road,4,5,244,3,low,F,7,4172,0
3402,F, Ship,3,2,264,3,medium,F,,3439,1
3403,C, Flight,3,3,255,2,high,M,7,3311,1
3404,B, Road,,5,282,,low,M,10,4901,0
3405,F, Road,3,1,256,3,low,F,5,5643,0
3406,C,?,4,5,259,5,medium,M,,1066,1
3407,B, Ship,,5,235,,medium,M,9,1032,1
3408,C, Ship,3,4,134,2,medium,M,,1198,1
3409,F, Flight,5,4,151,3,low,F,4,5522,0
3410,B, Ship,4,3,173,2,low,F,,1179,1
3411,B, Ship,3,4,261,,medium,F,,5731,0
3412,C, Ship,5,5,175,6,low,F,,?,1
3413,F, Ship,3,1,219,3,medium,M,,4893,1
3414,F,?,4,3,263,6,medium,M,,1123,1
3415,F, Ship,4,3,269,5,low,M,2,1273,1
3416,F, Ship,5,3,267,3,low,M,9,5258,1
3417,A, Ship,3,1,160,,medium,M,5,4435,1
3418,C, Ship,3,3,205,5,medium,M,,?,1
3419,A, Flight,5,5,177,2,high,F,,2000,1
3420,C, Ship,3,3,153,3,medium,M,,4578,1
3421,F, Ship,5,1,255,,low,F,,1014,0
3422,F, Ship,4,2,275,5,low,F,,1438,0
3423,B, Ship,,3,243,5,medium,M,,4750,1
3424,D, Ship,5,4,168,3,low,F,,1317,1
3425,F, Ship,4,2,262,4,low,M,,5311,0
3426,C, Road,3,3,168,,low,F,9,4608,0
3427,B, Ship,4,2,191,2,medium,F,,4806,1
3428,C, Road,4,3,134,3,low,M,,1965,1
3429,A, Flight,4,5,140,5,medium,F,3,4191,1
3430,F, Ship,3,4,153,2,medium,M,,1740,1
3431,C, Ship,,2,231,,medium,M,4,5510,0
3432,D, Ship,3,5,110,3,low,M,,?,1
3433,D, Ship,6,1,268,4,low,F,,1654,1
3434,D, Ship,5,2,258,5,low,F,2,1232,1
3435,C, Ship,4,1,111,4,medium,M,10,4711,0
3436,F, Ship,3,5,271,4,low,M,3,5831,1
3437,C, Ship,3,3,176,3,low,F,,5284,1
3438,F, Ship,5,5,104,4,high,F,9,5652,0
3439,D,?,,1,202,,low,M,,4029,0
3440,F, Road,,2,233,4,medium,F,9,5539,0
3441,C, Ship,4,2,227,4,medium,F,22,2460,1
3442,B, Ship,,1,201,6,medium,F,,5529,0
3443,D, Ship,3,2,109,3,?,F,,1710,1
3444,F, Ship,3,1,254,2,high,F,60,3590,1
3445,A, Ship,3,2,206,2,low,F,,4185,1
3446,D, Flight,,3,263,3,medium,F,,5665,1
3447,D, Ship,,4,160,3,high,M,10,5527,0
3448,B, Flight,3,3,221,2,medium,F,5,4205,1
3449,B, Ship,4,1,241,2,low,F,,2935,1
3450,F, Ship,3,2,188,5,medium,M,7,5673,0
3451,A, Ship,4,3,233,2,?,F,45,2732,1
3452,A, Road,4,1,170,,medium,F,3,5211,1
3453,D, Road,4,1,264,,low,F,,4863,0
3454,F, Ship,3,2,241,3,low,M,22,3030,1
3455,D, Ship,3,2,149,4,medium,F,21,1636,1
3456,C, Ship,5,4,217,6,medium,M,6,1483,1
3457,A, Flight,5,4,226,3,low,F,46,3149,1
3458,F, Ship,4,3,273,10,medium,M,,4251,1
3459,B, Ship,4,1,233,2,medium,F,,2671,1
3460,D, Ship,6,5,250,2,low,F,,4724,0
3461,F, Ship,4,5,278,6,low,M,,3909,1
3462,A, Road,4,5,244,3,medium,M,,5857,1
3463,F, Ship,4,4,184,3,medium,F,,4124,1
3464,A,?,4,5,234,5,low,F,3,1469,1
3465,B, Ship,,1,261,,low,M,5,1837,1
3466,D, Ship,,2,249,3,low,F,,5051,1
3467,C, Road,3,3,176,3,medium,M,,5575,0
3468,B, Road,3,1,236,4,medium,F,,1551,0
3469,C, Ship,,5,212,3,low,F,2,2456,1
3470,A, Ship,3,2,174,3,low,M,4,?,1
3471,F, Flight,3,2,150,2,low,M,,1319,1
3472,A, Ship,,3,110,5,low,M,3,4124,0
3473,A, Ship,4,4,251,4,low,F,,5984,0
3474,F, Flight,4,5,216,2,low,M,59,3088,1
3475,D, Ship,3,2,190,,low,M,,3315,1
3476,A, Road,,2,261,8,medium,F,1,3308,1
3477,C, Ship,,4,305,,medium,F,6,1873,0
3478,F, Ship,3,4,245,4,low,M,,4139,0
3479,C, Flight,4,4,139,2,high,F,,4446,1
3480,B, Ship,2,2,287,4,medium,M,,5972,0
3481,A, Ship,4,4,216,6,low,M,,1255,0
3482,D, Ship,6,4,293,6,low,F,,1117,1
3483,D, Road,3,4,185,,medium,F,,?,0
3484,F, Ship,,4,254,,medium,F,,1435,0
3485,F,?,3,3,134,,medium,M,,5370,1
3486,B, Ship,4,2,249,4,medium,M,,5418,1
3487,A, Ship,5,2,181,3,low,M,7,5875,0
3488,F, Ship,4,3,229,,low,F,3,?,0
3489,A, Ship,5,1,267,5,medium,F,,1818,0
3490,A, Ship,3,5,195,2,low,F,,3814,1
3491,D, Ship,6,2,245,4,low,F,10,1448,0
3492,A, Road,4,2,146,8,low,M,7,?,1
3493,F, Ship,6,3,218,6,high,F,,4352,1
3494,B, Ship,3,2,253,,low,M,8,?,0
3495,D, Ship,6,1,222,5,medium,M,26,3137,1
3496,C, Flight,,5,210,4,medium,F,28,3905,1
3497,C, Ship,4,4,192,2,low,M,1,4429,0
3498,F, Road,4,3,161,3,low,F,,?,1
3499,A, Road,5,1,260,2,low,M,,5580,0
3500,C, Ship,3,1,185,,medium,F,42,2803,1
3501,C, Ship,,3,186,7,medium,F,,2062,1
3502,B, Ship,5,4,217,5,high,F,,1007,1
3503,C, Ship,3,2,139,5,low,M,,?,0
3504,D, Ship,7,3,310,,medium,F,,1989,0
3505,A, Ship,4,1,195,3,medium,M,,4682,0
3506,F, Ship,3,4,181,,medium,F,,5163,1
3507,F, Ship,3,2,177,2,high,M,,4648,0
3508,A,?,4,5,159,5,low,F,,4063,0
3509,C, Ship,6,5,178,3,low,F,,4096,0
3510,A, Ship,4,3,223,3,low,F,10,5560,1
3511,D, Ship,,2,150,,low,M,,4660,1
3512,D,?,,4,137,2,low,M,,?,1
3513,D, Ship,3,5,254,3,medium,M,3,4072,0
3514,A, Ship,3,3,234,3,low,F,8,4839,1
3515,C, Ship,,4,274,6,low,M,10,1355,1
3516,C, Ship,7,3,272,4,medium,M,2,1754,0
3517,F, Road,5,2,259,5,low,F,,1724,1
3518,C, Ship,4,1,141,3,low,F,,5273,0
3519,A, Ship,6,3,175,5,medium,F,64,1860,1
3520,D, Road,4,4,236,4,low,M,,2280,1
3521,F, Road,5,4,172,3,low,F,,5064,1
3522,A, Ship,4,1,191,2,low,F,4,5851,1
3523,D, Road,,2,245,3,medium,F,,4835,1
3524,A, Ship,4,3,104,,low,F,6,4617,1
3525,C, Ship,,1,224,2,low,M,10,4653,1
3526,F, Road,,4,211,6,low,M,,3955,1
3527,B, Ship,4,5,241,5,low,M,2,?,0
3528,D,?,3,3,202,,low,F,9,4917,0
3529,D, Ship,,3,169,3,high,M,,4647,0
3530,F, Ship,,1,271,,low,F,,?,0
3531,B, Ship,3,5,207,4,low,F,,3770,1
3532,D, Ship,,4,285,4,medium,F,2,1017,1
3533,F, Ship,,5,264,2,low,M,,5898,1
3534,A, Road,3,1,220,3,low,F,,5572,1
3535,F, Ship,,5,256,5,medium,M,,1693,1
3536,B, Ship,3,1,254,3,medium,F,35,2965,1
3537,F, Flight,,3,244,5,medium,F,10,1913,1
3538,A, Ship,,4,245,2,medium,F,,5389,0
3539,F, Ship,,1,287,,medium,F,1,1581,0
3540,D, Flight,,1,274,6,low,M,,1141,1
3541,A, Ship,5,5,244,2,low,M,10,5794,0
3542,F, Ship,,1,143,2,low,M,,1387,1
3543,F, Ship,,5,189,2,high,M,,5898,1
3544,B, Flight,3,5,146,3,medium,M,,5637,1
3545,A, Flight,3,4,186,,low,F,,4585,0
3546,F, Ship,5,3,224,4,low,M,,4553,0
3547,B, Ship,3,3,166,4,medium,F,17,1498,1
3548,B, Road,4,1,238,,medium,F,3,1913,0
3549,C, Ship,2,1,177,4,low,M,,1058,1
3550,D,?,,3,248,3,medium,F,,4667,0
3551,A,?,4,5,171,4,medium,F,4,4151,0
3552,D, Road,6,2,260,3,low,M,,4071,0
3553,B, Flight,,1,102,,medium,M,9,4459,1
3554,C, Ship,3,5,193,3,low,F,47,3523,1
3555,F, Ship,5,1,265,3,high,M,5,4951,1
3556,F, Flight,,1,233,2,low,F,,2804,1
3557,B, Ship,3,2,199,3,medium,F,,4164,1
3558,B, Ship,,5,269,4,?,F,7,1249,1
3559,D, Ship,3,1,227,3,medium,M,52,3336,1
3560,F, Flight,4,2,197,7,medium,M,,?,1
3561,F, Ship,4,1,164,4,medium,M,3,5318,1
3562,B, Ship,3,2,221,3,high,F,7,5477,0
3563,D, Ship,4,4,234,2,high,M,2,2008,1
3564,B, Flight,5,4,257,5,low,F,1,1778,1
3565,B, Flight,,5,234,,medium,F,,?,1
3566,B, Ship,3,5,252,3,high,F,,4248,0
3567,F, Ship,5,2,244,5,low,M,10,1699,0
3568,B, Flight,4,5,257,3,medium,M,5,4180,0
3569,D, Ship,3,3,149,2,medium,M,,1225,1
3570,B, Ship,,3,211,2,medium,M,2,4611,0
3571,A, Ship,5,4,203,2,high,F,,4190,1
3572,D, Flight,5,4,150,2,low,M,,1034,1
3573,A, Ship,4,4,149,2,medium,F,19,1665,1
3574,A, Ship,5,5,205,2,high,M,,?,1
3575,A, Road,4,4,200,4,medium,M,16,2060,1
3576,F, Ship,,4,273,2,?,M,9,?,0
3577,F, Road,4,3,243,4,low,F,,4811,0
3578,D, Flight,3,2,262,2,medium,M,,5738,0
3579,F, Ship,6,2,272,5,low,M,,1045,0
3580,C, Ship,,2,151,3,low,M,40,1173,1
3581,F, Ship,4,5,266,,medium,F,4,5928,1
3582,B, Road,6,4,298,4,medium,F,8,1437,1
3583,F, Ship,4,3,286,5,low,M,37,2938,1
3584,F, Ship,5,2,105,,high,M,,1622,1
3585,B, Road,3,4,221,3,medium,F,1,5391,0
3586,C, Ship,4,5,194,3,medium,M,,5168,1
3587,D, Flight,6,1,173,3,medium,F,,4892,0
3588,F, Ship,5,3,175,3,medium,F,,5047,1
3589,F, Ship,3,3,200,3,low,M,3,5739,0
3590,B, Ship,3,1,225,4,low,F,,4080,1
3591,D, Road,3,1,101,,medium,F,1,5560,0
3592,F, Ship,6,4,264,4,low,M,1,1660,1
3593,F, Ship,,5,180,6,medium,F,,4907,1
3594,A, Road,5,2,187,2,medium,F,29,2863,1
3595,C, Ship,3,1,210,3,medium,M,4,5683,0
3596,C, Flight,5,1,253,5,low,M,,3836,1
3597,B, Flight,4,5,142,3,medium,M,2,5692,0
3598,A,?,5,5,233,,high,M,5,5330,0
3599,F, Ship,4,2,184,3,low,M,3,1705,1
3600,F, Ship,4,4,225,2,medium,M,,4829,1
3601,D, Ship,3,3,232,4,medium,M,,5828,0
3602,C, Ship,5,5,236,3,medium,F,62,3365,1
3603,F, Ship,,4,224,3,low,F,34,2627,1
3604,F, Ship,4,5,171,3,low,F,10,?,1
3605,B, Flight,3,2,169,2,medium,M,61,1511,1
3606,A, Flight,3,5,214,8,high,M,50,3628,1
3607,A, Ship,4,2,231,5,low,F,,1465,1
3608,B, Ship,,3,202,2,medium,M,39,?,1
3609,B, Ship,4,2,264,5,medium,F,6,1736,1
3610,B, Flight,4,2,272,3,high,F,,4559,0
3611,A, Ship,3,1,199,,medium,F,,5557,1
3612,A, Ship,4,5,185,,low,F,,4336,1
3613,D, Ship,2,1,147,3,low,M,,4120,1
3614,B, Road,4,4,204,3,low,F,,4757,0
3615,F, Road,6,4,306,4,low,M,,1595,0
3616,D, Flight,3,1,213,10,medium,M,,4862,0
3617,D, Flight,3,3,191,4,medium,F,17,3675,1
3618,A, Ship,3,4,179,3,high,M,57,1582,1
3619,B, Road,5,1,109,2,high,M,,1479,1
3620,F, Ship,4,1,250,6,medium,F,7,?,0
3621,C, Flight,,5,260,5,low,F,2,1128,0
3622,C, Ship,6,3,282,,medium,F,8,1375,0
3623,A, Flight,4,5,196,5,low,F,2,5840,0
3624,C, Ship,5,4,226,6,low,F,,1223,1
3625,F, Ship,4,5,190,3,low,M,,4554,0
3626,C, Ship,7,1,254,4,low,F,,1865,1
3627,B, Ship,4,4,259,3,low,F,,4223,1
3628,D, Flight,7,1,291,4,low,M,2,1216,1
3629,D, Ship,3,3,135,3,medium,M,2,5860,0
3630,F, Ship,5,3,254,6,low,M,8,1932,0
3631,D, Ship,6,3,264,4,medium,M,5,1397,0
3632,F, Flight,4,4,160,4,low,M,,5520,1
3633,F, Flight,5,4,254,3,low,F,4,5611,1
3634,F, Ship,,1,203,10,medium,F,,5917,1
3635,D, Ship,4,1,272,3,medium,M,49,2803,1
3636,B, Ship,3,2,188,3,medium,M,3,3837,1
3637,B, Ship,5,3,255,5,medium,F,10,1886,0
3638,F, Road,2,1,123,4,low,F,53,1036,1
3639,D, Ship,4,2,182,3,low,M,58,3943,1
3640,F, Ship,4,1,139,3,low,F,56,1811,1
3641,D, Ship,5,4,280,4,low,M,,5156,0
3642,C, Ship,3,3,241,2,high,M,2,4836,1
3643,C, Ship,,2,227,5,low,F,3,1242,1
3644,B, Ship,7,4,282,4,low,M,6,1800,0
3645,F, Ship,,3,181,,medium,M,,3719,1
3646,C, Ship,3,3,221,3,low,F,,4388,0
3647,B, Ship,3,3,149,,low,M,,4654,0
3648,C, Ship,3,4,209,2,high,M,,4540,0
3649,F, Ship,3,1,156,3,medium,M,49,1253,1
3650,C, Ship,3,4,274,3,low,F,7,5036,1
3651,A, Ship,3,4,241,,low,M,,3671,1
3652,A, Road,3,4,211,2,low,M,,6000,0
3653,A, Ship,,5,249,2,low,F,,2029,1
3654,B, Flight,5,3,267,4,medium,F,1,?,1
3655,A, Flight,5,5,233,6,?,F,4,1924,1
3656,F, Ship,4,4,140,2,low,F,,1831,1
3657,D, Ship,,1,132,4,medium,F,,1343,1
3658,B, Road,4,2,186,3,low,M,,4524,0
3659,F, Flight,3,2,243,2,low,F,,3850,1
3660,A, Ship,4,2,222,2,medium,F,16,2518,1
3661,F, Road,,1,160,,medium,F,29,1952,1
3662,F, Ship,5,3,258,5,low,F,,1665,1
3663,B, Flight,6,2,169,2,medium,M,,5580,0
3664,D,?,2,5,209,5,medium,F,9,5565,0
3665,A, Road,3,3,274,3,?,F,,5981,1
3666,B, Ship,3,3,209,3,medium,F,5,5831,0
3667,D, Road,5,2,255,6,low,M,6,1610,0
3668,C, Ship,4,3,273,10,medium,F,8,4896,0
3669,A, Ship,4,5,215,2,?,F,,2258,1
3670,B, Road,,3,194,4,low,F,2,5396,0
3671,D, Ship,4,1,231,2,low,F,,5917,1
3672,C, Ship,3,2,186,2,low,M,,5522,0
3673,B, Flight,5,5,169,,low,F,2,4188,0
3674,B,?,3,2,224,2,medium,F,,4405,0
